,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17
abits:1/wbits:6,0.5244977474212646,0.5711936950683594,0.5713735818862915,0.5754320025444031,0.571711540222168,0.5767967700958252,0.5716610550880432,1.1448566913604736,1.1433193683624268,1.1442129611968994,1.1430234909057617,1.1468039751052856,1.1423351764678955,2.2811546325683594,2.287324905395508,2.295342445373535,2.2898216247558594,2.2853574752807617
abits:1/wbits:7,0.5721020698547363,0.5715787410736084,0.5732489824295044,0.5717605948448181,0.571649432182312,0.5753723382949829,0.5760431289672852,1.1460399627685547,1.1425195932388306,1.1487576961517334,1.1489514112472534,1.1488425731658936,1.1445173025131226,2.2941815853118896,2.2961390018463135,2.2961409091949463,2.3047823905944824,1.0581161975860596
abits:2/wbits:0,0.5731189250946045,0.5712811350822449,0.5710780620574951,0.5741863250732422,0.5723608136177063,0.5761673450469971,0.572467565536499,1.1410651206970215,1.1400953531265259,1.1490576267242432,1.1409528255462646,1.1496565341949463,1.1417584419250488,2.294943332672119,2.2943294048309326,2.298985004425049,2.2911479473114014,2.288172721862793
abits:2/wbits:1,0.5732282400131226,0.5712891817092896,0.5712239742279053,0.5738651752471924,0.5723547339439392,0.5770350694656372,0.572121798992157,1.1409783363342285,1.1405165195465088,1.1484198570251465,1.140629768371582,1.1501126289367676,1.1426355838775635,2.2961790561676025,2.2946834564208984,2.297825813293457,2.2919821739196777,2.2874271869659424
abits:2/wbits:2,0.5731029510498047,0.5712963342666626,0.5709496736526489,0.5738721489906311,0.5722169280052185,0.5769710540771484,0.5725995302200317,1.1416704654693604,1.140217900276184,1.148573637008667,1.141078233718872,1.1506826877593994,1.1426982879638672,2.2951700687408447,2.2940926551818848,2.2973074913024902,2.2922873497009277,2.2887322902679443
abits:2/wbits:3,0.5729959011077881,0.571283221244812,0.5707984566688538,0.5738318562507629,0.5723271369934082,0.57704758644104,0.5726114511489868,1.1420414447784424,1.1395119428634644,1.1491565704345703,1.1405019760131836,1.1500728130340576,1.1432690620422363,2.294100761413574,2.2932991981506348,2.299745559692383,2.292938470840454,2.2877445220947266
abits:2/wbits:4,0.5724806189537048,0.5711668729782104,0.5708679556846619,0.5741316676139832,0.5723016858100891,0.5767806768417358,0.5725179314613342,1.142042636871338,1.1403640508651733,1.1487007141113281,1.1409924030303955,1.1501473188400269,1.1414227485656738,2.2933692932128906,2.293865203857422,2.298903703689575,2.2926406860351562,2.284097194671631
abits:2/wbits:5,0.5684934854507446,0.5711349248886108,0.5709346532821655,0.5743887424468994,0.5715986490249634,0.5768182277679443,0.5714079141616821,1.1384384632110596,1.141533374786377,1.1480510234832764,1.1419727802276611,1.1493115425109863,1.1423614025115967,2.292088747024536,2.2936010360717773,2.2970118522644043,2.2925078868865967,2.308635950088501
abits:2/wbits:6,0.5235104560852051,0.5713125467300415,0.571270227432251,0.5758953094482422,0.5714432001113892,0.5772929191589355,0.5716236233711243,1.1438782215118408,1.1432180404663086,1.1440565586090088,1.1426843404769897,1.147676944732666,1.1418254375457764,2.281848907470703,2.2870359420776367,2.2983126640319824,2.289243221282959,2.279710054397583
abits:2/wbits:7,0.5716551542282104,0.5717560052871704,0.5736579895019531,0.5720964074134827,0.5718740224838257,0.5759109258651733,0.5766729116439819,1.1464847326278687,1.1428877115249634,1.1493477821350098,1.1492419242858887,1.1483871936798096,1.145996332168579,2.2944068908691406,2.297664165496826,2.2982516288757324,2.305050849914551,0.9305827021598816
abits:3/wbits:0,0.5727923512458801,0.5714432597160339,0.5706974864006042,0.5751864910125732,0.5719720125198364,0.5770605802536011,0.5724634528160095,1.1439094543457031,1.1398582458496094,1.1493759155273438,1.1406316757202148,1.1498141288757324,1.1427228450775146,2.2970080375671387,2.2938878536224365,2.2944393157958984,2.2855234146118164,2.235288381576538
abits:3/wbits:1,0.5722982883453369,0.5712985992431641,0.5708440542221069,0.5747745633125305,0.5717817544937134,0.5777348279953003,0.5723419785499573,1.143980622291565,1.1396650075912476,1.148937463760376,1.1409999132156372,1.1503143310546875,1.1425254344940186,2.297384023666382,2.292579412460327,2.294124126434326,2.285188913345337,2.2352566719055176
